datetime,temperature_100m,windspeed_100m,pressure_100m,precipitationrate_0m
2007-01-12 20:00:00,286.7321,3.7781906,99071.93,0.0
2007-01-12 21:00:00,286.73514,3.7537766,99036.23,0.0
2007-01-12 22:00:00,286.60086,4.1352615,99019.75,0.0
2007-01-12 23:00:00,286.9457,5.566574,99045.38,0.0
2007-01-13 00:00:00,286.63443,6.0670776,99038.97,0.0
2007-01-13 01:00:00,286.68936,6.143379,99032.56,0.0
2007-01-13 02:00:00,286.74124,6.311226,99026.16,0.0
2007-01-13 03:00:00,286.33228,5.319374,99002.35,0.0
2007-01-13 04:00:00,285.79517,5.9297485,98962.984,0.0
2007-01-13 05:00:00,285.92334,7.02536,98912.625,0.0
2007-01-13 06:00:00,286.1034,7.171852,98896.15,0.0
2007-01-13 07:00:00,285.74023,6.9704285,98891.57,0.0
2007-01-13 08:00:00,284.55,5.7557907,98886.99,0.0
2007-01-13 09:00:00,284.25397,5.417038,98865.016,0.0
2007-01-13 10:00:00,283.75348,5.618454,98857.695,0.0
2007-01-13 11:00:00,283.3201,4.217659,98879.664,0.0
2007-01-13 12:00:00,283.50018,3.9887695,98871.42,0.0
2007-01-13 13:00:00,283.50934,4.293953,98855.86,0.0
2007-01-13 14:00:00,284.10748,6.5736847,98856.78,0.0
2007-01-13 15:00:00,284.26312,5.9022827,98846.7,0.0
2007-01-13 16:00:00,284.83078,5.716118,98790.86,0.0
2007-01-13 17:00:00,285.2855,5.0141907,98765.22,0.0
2007-01-13 18:00:00,286.0271,5.258339,98724.02,0.0
2007-01-13 19:00:00,286.61002,5.4506073,98689.234,0.0
2007-01-13 20:00:00,288.0871,4.651024,98651.695,0.0
2007-01-13 21:00:00,288.81955,3.9399414,98617.81,0.0
2007-01-13 22:00:00,288.76462,4.3122635,98644.37,0.0
2007-01-13 23:00:00,288.55096,6.7323837,98652.61,0.0
2007-01-14 00:00:00,288.7524,9.537033,98639.79,0.0
2007-01-14 01:00:00,288.37396,8.267464,98638.875,0.0
